"","Type","Play","Character","lines","words"
"1021","Comedy","Pericles","Second Gentleman",18,117
"1022","Tragedy","Othello","Second Gentlemen",2,11
"1023","Tragedy","Titus Andronicus","Second Goth",21,166
"1024","Tragedy","Antony and Cleopatra","Second Guard",4,17
"1025","History","Richard II","Second Herald",7,48
"1026","Comedy","Taming of the Shrew","Second Huntsman",3,30
"1027","History","Henry VI Part 3","Second Keeper",14,128
"1028","Comedy","Pericles","Second Knight",1,9
"1029","Comedy","A Winters Tale","Second Lady",4,22
"1030","Comedy","Alls Well that Ends Well","Second Lord",147,1173
"1031","Comedy","As you Like it","Second Lord",11,75
"1032","Tragedy","Coriolanus","Second Lord",9,62
"1033","Comedy","Cymbeline","Second Lord",47,346
"1034","Comedy","Pericles","Second Lord",11,82
"1035","Tragedy","Timon of Athens","Second Lord",43,292
"1036","Comedy","A Comedy of Errors","Second Merchant",38,277
"1037","Tragedy","Antony and Cleopatra","Second Messenger",4,22
"1038","Tragedy","Coriolanus","Second Messenger",21,147
"1039","History","Henry VI Part 3","Second Messenger",1,8
"1040","History","Richard III","Second Messenger",3,23
"1041","History","Henry VI Part 2","Second Murderer",2,17
"1042","Tragedy","Macbeth","Second Murderer",15,86
"1043","History","Richard III","Second Murderer",58,475
"1044","Tragedy","Romeo and Juliet","Second Musician",4,35
"1045","History","Henry VI Part 2","Second Neighbour",1,9
"1046","Tragedy","Coriolanus","Second Officer",22,188
"1047","Comedy","Twelfth Night","Second Officer",3,19
"1048","Comedy","Two Gentlemen of Verona","Second Outlaw",15,104
"1049","Comedy","As you Like it","Second Page",22,157
"1050","Tragedy","Coriolanus","Second Patrician",1,5
"1051","History","Henry VI Part 2","Second Petitioner",5,40
"1052","Comedy","Pericles","Second Pirate",1,4
"1053","Tragedy","Coriolanus","Second Roman",1,3
"1054","Comedy","Pericles","Second Sailor",6,39
"1055","Tragedy","Coriolanus","Second Senator",20,135
"1056","Comedy","Cymbeline","Second Senator",1,1
"1057","Tragedy","Othello","Second Senator",5,38
"1058","Tragedy","Timon of Athens","Second Senator",62,431
"1059","Comedy","A Winters Tale","Second Servant",2,12
"1060","Tragedy","Antony and Cleopatra","Second Servant",7,59
"1061","Tragedy","King Lear","Second Servant",5,38
"1062","Comedy","Merry Wives of Windsor","Second Servant",1,9
"1063","Tragedy","Romeo and Juliet","Second Servant",12,98
"1064","Comedy","Taming of the Shrew","Second Servant",12,103
"1065","Tragedy","Timon of Athens","Second Servant",17,122
"1066","Tragedy","Coriolanus","Second Servingman",35,270
"1067","Comedy","Alls Well that Ends Well","Second Soldier",2,7
"1068","Tragedy","Antony and Cleopatra","Second Soldier",14,69
"1069","Tragedy","Coriolanus","Second Soldier",1,2
"1070","Tragedy","Julius Caesar","Second Soldier",2,9
"1071","Tragedy","Timon of Athens","Second Stranger",6,49
"1072","History","Henry VI Part 1","Second Warder",2,21
"1073","History","Henry VI Part 3","Second Watchman",8,73
"1074","Comedy","Much Ado About Nothing","Second Watchman",8,60
"1075","Tragedy","Romeo and Juliet","Second Watchman",1,11
"1076","Tragedy","Macbeth","Second Witch",27,136
"1077","Tragedy","Antony and Cleopatra","Seleucus",5,26
"1078","Tragedy","Timon of Athens","Sempronius",27,220
"1079","Tragedy","Othello","Senator",2,7
"1080","Tragedy","Timon of Athens","Senator",35,286
"1081","Tragedy","Coriolanus","Senators",1,7
"1082","History","Henry VI Part 1","Sentinels",2,12
"1083","History","Henry VI Part 1","Sergeant",4,31
"1084","History","Henry VIII","Sergeant",5,28
"1085","Tragedy","Macbeth","Sergeant",35,248
"1086","Comedy","A Comedy of Errors","Servant",15,132
"1087","Comedy","A Winters Tale","Servant",45,386
"1088","Comedy","Alls Well that Ends Well","Servant",4,34
"1089","Tragedy","Hamlet","Servant",1,9
"1090","History","Henry IV","Servant",3,19
"1091","History","Henry VI Part 1","Servant",1,10
"1092","History","Henry VI Part 2","Servant",1,11
"1093","History","Henry VIII","Servant",4,25
"1094","Tragedy","Julius Caesar","Servant",30,218
"1095","Tragedy","Macbeth","Servant",5,22
"1096","Comedy","Measure for Measure","Servant",5,37
"1097","Comedy","Merchant of Venice","Servant",17,128
"1098","Comedy","Merry Wives of Windsor","Servant",1,4
"1099","Comedy","Pericles","Servant",2,17
"1100","History","Richard II","Servant",17,125
"1101","Tragedy","Romeo and Juliet","Servant",23,187
"1102","Comedy","Taming of the Shrew","Servant",5,37
"1103","Tragedy","Timon of Athens","Servant",30,228
"1104","Tragedy","Troilus and Cressida","Servant",19,124
"1105","Comedy","Twelfth Night","Servant",3,23
"1106","History","Henry VI Part 2","Servants",1,3
"1107","Tragedy","Timon of Athens","Servants",1,4
"1108","Tragedy","Timon of Athens","Servilius",21,164
"1109","Tragedy","Coriolanus","Seventh Citizen",2,18
"1110","Tragedy","Julius Caesar","Several Citizens",2,7
"1111","Comedy","Much Ado About Nothing","Sexton",15,107
"1112","Tragedy","Macbeth","Seyton",5,33
"1113","Comedy","Merry Wives of Windsor","Shallow",112,921
"1114","Comedy","A Winters Tale","Shepard",2,15
"1115","Comedy","A Winters Tale","Shepherd",134,1092
"1116","History","Henry VI Part 1","Shepherd",24,205
"1117","History","Henry IV","Sheriff",8,61
"1118","History","Henry VI Part 2","Sheriff",4,34
"1119","History","Richard III","Sheriff",2,11
"1120","Comedy","Merchant of Venice","Shylock",355,2939
"1121","Comedy","Cymbeline","Sicilius Leonatus",40,235
"1122","Tragedy","Coriolanus","Sicinius",306,1928
"1123","Tragedy","Antony and Cleopatra","Silius",12,67
"1124","Comedy","Two Gentlemen of Verona","Silvia",155,1163
"1125","Comedy","As you Like it","Silvius",75,549
"1126","Comedy","Pericles","Simonides",157,1163
"1127","History","Henry VI Part 2","Simpcox",25,190
"1128","Comedy","Merry Wives of Windsor","Simple",49,343
"1129","Comedy","Twelfth Night","Sir Andrew",147,1219
"1130","Comedy","Merry Wives of Windsor","Sir Hugh Evans",222,1819
"1131","History","Henry VI Part 2","Sir Humphrey",16,117
"1132","History","Henry IV","Sir Michael",8,53
"1133","Comedy","Loves Labours Lost","Sir Nathaniel",67,533
"1134","Comedy","As you Like it","Sir Oliver Martext",4,37
"1135","History","Richard II","Sir Stephen Scroop",37,293
"1136","Comedy","Twelfth Night","Sir Toby Belch",332,2777
"1137","History","Henry IV","Sir Walter Blunt",41,303
"1138","Tragedy","Macbeth","Siward",30,211
"1139","Tragedy","Coriolanus","Sixth Citizen",2,13
"1140","Comedy","Merry Wives of Windsor","Slender",141,1184
"1141","Comedy","Taming of the Shrew","Sly",63,538
"1142","History","Henry VI Part 2","Smith",15,131
"1143","Comedy","A Midsummer Nights Dream","Snout",7,60
"1144","Comedy","A Midsummer Nights Dream","Snug",6,52
"1145","Tragedy","Antony and Cleopatra","Soldier",38,233
"1146","History","Henry VI Part 1","Soldier",4,35
"1147","History","Henry VI Part 2","Soldier",1,4
"1148","History","Henry VI Part 3","Soldier",2,19
"1149","Tragedy","Timon of Athens","Soldier",15,126
"1150","Tragedy","Macbeth","Soldiers",1,4
"1151","Tragedy","Timon of Athens","some Others",1,3
"1152","Tragedy","Timon of Athens","some Speak",1,5
"1153","History","Henry VI Part 1","Somerset",73,533
"1154","History","Henry VI Part 2","Somerset",25,182
"1155","History","Henry VI Part 3","Somerset",39,323
"1156","History","Henry VI Part 3","Son",22,202
"1157","Tragedy","Macbeth","Son",20,148
"1158","Tragedy","Antony and Cleopatra","Soothsayer",31,216
"1159","Comedy","Cymbeline","Soothsayer",43,328
"1160","Tragedy","Julius Caesar","Soothsayer",18,132
"1161","Comedy","Two Gentlemen of Verona","Speed",194,1482
"1162","History","Henry VI Part 2","Spirit",9,61
"1163","History","Henry VI Part 2","Stanley",7,62
"1164","History","Richard III","Stanley",30,243
"1165","Comedy","A Midsummer Nights Dream","Starveling",5,32
"1166","Comedy","Merchant of Venice","Stephano",8,55
"1167","Comedy","The Tempest","Stephano",163,1343
"1168","Comedy","Alls Well that Ends Well","Steward",43,350
"1169","Tragedy","Julius Caesar","Strato",7,59
"1170","History","Henry VI Part 1","Su Ffolk",6,44
"1171","History","Henry VI Part 1","Suffolk",170,1283
"1172","History","Henry VI Part 2","Suffolk",297,2355
"1173","History","Henry VIII","Suffolk",93,649
"1174","History","Henry VIII","Surrey",82,536
"1175","History","Richard III","Surrey",1,9
"1176","History","Henry VIII","Surveyor",61,464
"1177","Comedy","Taming of the Shrew","Tailor",17,117
"1178","History","Henry VI Part 1","Talbot",419,3259
"1179","Tragedy","Titus Andronicus","Tamora",259,2031
"1180","Tragedy","Antony and Cleopatra","Taurus",1,2
"1181","Comedy","Pericles","Thaisa",82,596
"1182","Comedy","Pericles","Thaliard",27,216
"1183","Tragedy","Troilus and Cressida","Thersites",284,2364
"1184","Comedy","A Midsummer Nights Dream","Theseus",233,1761
"1185","History","Henry IV","Thieves",1,1
"1186","Tragedy","Macbeth","Third Apparition",5,34
"1187","Tragedy","Timon of Athens","Third Bandit",6,44
"1188","Tragedy","Coriolanus","Third Citizen",57,490
"1189","Tragedy","Julius Caesar","Third Citizen",22,136
"1190","History","Richard III","Third Citizen",28,236
"1191","Tragedy","Coriolanus","Third Conspirator",12,81
"1192","Comedy","Pericles","Third Fisherman",18,153
"1193","Comedy","A Winters Tale","Third Gentleman",66,604
"1194","History","Henry VIII","Third Gentleman",57,448
"1195","Tragedy","Othello","Third Gentleman",17,115
"1196","Tragedy","Titus Andronicus","Third Goth",2,15
"1197","Tragedy","Antony and Cleopatra","Third Guard",1,3
"1198","Comedy","Pericles","Third Knight",1,8
"1199","Tragedy","Coriolanus","Third Lord",2,12
"1200","Comedy","Pericles","Third Lord",3,26
"1201","Tragedy","Timon of Athens","Third Lord",12,79
"1202","History","Richard III","Third Messenger",7,52
"1203","Tragedy","Macbeth","Third Murderer",8,43
"1204","Tragedy","Romeo and Juliet","Third Musician",1,7
"1205","History","Henry VI Part 2","Third Neighbour",2,16
"1206","Comedy","Two Gentlemen of Verona","Third Outlaw",25,213
"1207","Comedy","Pericles","Third Pirate",2,12
"1208","Tragedy","Coriolanus","Third Roman",1,9
"1209","Tragedy","Timon of Athens","Third Senator",5,36
"1210","Tragedy","King Lear","Third Servant",5,40
"1211","Comedy","Taming of the Shrew","Third Servant",12,101
"1212","Tragedy","Timon of Athens","Third Servant",10,76
"1213","Tragedy","Coriolanus","Third Servingman",49,406
"1214","Tragedy","Antony and Cleopatra","Third Soldier",13,52
"1215","Tragedy","Julius Caesar","Third Soldier",1,1
"1216","Tragedy","Timon of Athens","Third Stranger",1,4
"1217","History","Henry VI Part 3","Third Watchman",9,74
"1218","Tragedy","Romeo and Juliet","Third Watchman",3,26
"1219","Tragedy","Macbeth","Third Witch",27,140
"1220","Comedy","A Midsummer Nights Dream","Thisbe",34,182
"1221","History","Richard II","Thomas Mowbray",135,1093
"1222","Comedy","Two Gentlemen of Verona","Thurio",56,390
"1223","Tragedy","Antony and Cleopatra","Thyreus",31,186
"1224","Tragedy","Timon of Athens","Timandra",8,46
"1225","Comedy","A Winters Tale","Time",33,274
"1226","Tragedy","Timon of Athens","Timon",824,6239
"1227","Comedy","A Midsummer Nights Dream","Titania",158,1194
"1228","Tragedy","Julius Caesar","Titinius",31,236
"1229","Tragedy","Coriolanus","Titus",5,28
"1230","Tragedy","Timon of Athens","Titus",19,120
"1231","Tragedy","Titus Andronicus","Titus Andronicus",725,5924
"1232","Comedy","As you Like it","Touchstone",275,2406
"1233","History","Henry VI Part 2","Townsman",4,31
"1234","Comedy","Taming of the Shrew","Tranio",293,2321
"1235","History","Henry IV","Travellers",2,13
"1236","Tragedy","Julius Caesar","Trebonius",9,60
"1237","Tragedy","Titus Andronicus","Tribunes",3,19
"1238","Comedy","The Tempest","Trinculo",106,852
"1239","Tragedy","Troilus and Cressida","Troilus",537,4071
"1240","Comedy","Merchant of Venice","Tubal",12,98
"1241","History","Henry VI Part 3","Tutor",3,24
"1242","Tragedy","Romeo and Juliet","Tybalt",36,266
"1243","Comedy","Pericles","Tyrian Sailor",10,60
"1244","History","Richard III","Tyrrel",38,274
"1245","Tragedy","Troilus and Cressida","Ulysses",488,3605
"1246","Comedy","Much Ado About Nothing","Ursula",48,368
"1247","Comedy","Twelfth Night","Valentine",13,104
"1248","Comedy","Two Gentlemen of Verona","Valentine",383,2887
"1249","Tragedy","Coriolanus","Valeria",41,353
"1250","Tragedy","Antony and Cleopatra","Varrius",4,27
"1251","Tragedy","Julius Caesar","Varro",4,21
"1252","History","Richard III","Vaughan",1,9
"1253","History","Henry VI Part 2","Vaux",11,85
"1254","History","Henry VIII","Vaux",4,24
"1255","Tragedy","Antony and Cleopatra","Ventidius",30,229
"1256","Tragedy","Timon of Athens","Ventidius",9,61
"1257","Comedy","Much Ado About Nothing","Verges",25,191
"1258","History","Henry IV","Vernon",66,474
"1259","History","Henry VI Part 1","Vernon",29,241
"1260","Comedy","Taming of the Shrew","Vincentio",47,355
"1261","History","Henry IV","Vintner",4,33
"1262","Comedy","Twelfth Night","Viola",337,2619
"1263","Tragedy","Coriolanus","Virgilia",35,236
"1264","Tragedy","Coriolanus","Volsce",20,163
"1265","Tragedy","Hamlet","Voltimand",22,162
"1266","Tragedy","Coriolanus","Volumnia",314,2491
"1267","Tragedy","Julius Caesar","Volumnius",3,18
"1268","Comedy","A Midsummer Nights Dream","Wall",12,99
"1269","History","Henry v","Warwick",1,8
"1270","History","Henry VI Part 1","Warwick",80,563
"1271","History","Henry VI Part 2","Warwick",131,1088
"1272","History","Henry VI Part 3","Warwick",436,3534
"1273","History","Henry VI Part 1","Watch",2,12
"1274","Comedy","Much Ado About Nothing","Watchman",15,108
"1275","History","Henry IV","Westmoreland",41,301
"1276","History","Henry v","Westmoreland",27,208
"1277","History","Henry VI Part 3","Westmoreland",11,89
"1278","History","Henry VI Part 2","Whitmore",19,156
"1279","Comedy","Alls Well that Ends Well","Widow",65,440
"1280","Comedy","Taming of the Shrew","Widow",11,78
"1281","History","Henry VI Part 2","Wife",8,56
"1282","Comedy","As you Like it","William",11,44
"1283","Comedy","Merry Wives of Windsor","William Page",12,37
"1284","History","Henry VI Part 2","William Stafford",7,47
"1285","History","Henry v","Williams",70,628
"1286","History","Henry VI Part 1","Woodvile",5,38
"1287","History","Henry IV","Worcester",1,9
"1288","History","Henry v","York",2,14
"1289","History","Henry VI Part 1","York",95,714
"1290","History","Henry VI Part 2","York",386,3140
"1291","History","Henry VI Part 3","York",171,1366
"1292","History","Richard III","York",40,336
"1293","History","Henry VI Part 2","Young Clifford",46,353
"1294","Tragedy","Titus Andronicus","Young Lucius",45,359
"1295","Tragedy","Coriolanus","Young Marcius",2,19
"1296","Tragedy","Macbeth","Young Siward",7,46
